sample	dataset	organism	day	original.annotation	new.identity
MFI112_sc63	Ma	Cynomolgus.macaque	11	TE	cyCTB
MFI112_sc64	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc66	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc67	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc68	Ma	Cynomolgus.macaque	11	VE/YE	cyPrE
MFI112_sc74	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc75	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc77	Ma	Cynomolgus.macaque	11	postE-EPI	cyPostEPI-L1
MFI112_sc78	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc81	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc83	Ma	Cynomolgus.macaque	11	TE	cySTB
MFI112_sc84	Ma	Cynomolgus.macaque	11	postE-EPI	cyPostEPI-L1
MFI112_sc85	Ma	Cynomolgus.macaque	11	postE-EPI	cyPostEPI-L1
MFI112_sc86	Ma	Cynomolgus.macaque	11	VE/YE	cyPrE
MFI112_sc91	Ma	Cynomolgus.macaque	11	postE-EPI	cyPostEPI-L1
MFI112_sc92	Ma	Cynomolgus.macaque	11	VE/YE	cyPrE
MFI112_sc95	Ma	Cynomolgus.macaque	11	VE/YE	cyPrE
MFI112_sc96	Ma	Cynomolgus.macaque	11	postE-EPI	cyPostEPI-L1
MFI121_sc01	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI121_sc02	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc03	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc04	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc05	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc06	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc07	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc09	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc12	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc14	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc16	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc17	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc19	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc20	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc21	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc22	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc24	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc26	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc30	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc32	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc35	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc36	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc39	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc41	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc43	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc46	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc47	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc50	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc51	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc54	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc55	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc57	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc58	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc62	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc65	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc66	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc67	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc68	Ma	Cynomolgus.macaque	12	E-Gast	cyGast1
MFI121_sc69	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc72	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI121_sc74	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc75	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc76	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc78	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI121_sc80	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc86	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc88	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc89	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc90	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc91	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc92	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc93	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI121_sc94	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI121_sc95	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI121_sc96	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc01	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc02	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc03	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc04	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc06	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc07	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI122_sc08	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc09	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc10	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc11	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc12	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc13	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc15	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc17	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc18	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc20	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI122_sc21	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc22	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc24	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc25	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI122_sc28	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc30	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc31	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc32	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc33	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc35	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc37	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc39	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc41	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc42	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI122_sc44	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc45	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI122_sc46	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI122_sc49	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc50	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc51	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc53	Ma	Cynomolgus.macaque	12	E-Gast	cyGast1
MFI122_sc55	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc56	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI122_sc57	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc60	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc61	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc62	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc64	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI122_sc65	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc66	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc67	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc68	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc70	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc73	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc74	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc75	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc76	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc77	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc78	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc79	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI122_sc80	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI122_sc82	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc83	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc84	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc86	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc87	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc88	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc89	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc90	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI122_sc91	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc92	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc94	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc95	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI122_sc96	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI123_sc02	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI123_sc03	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI123_sc06	Ma	Cynomolgus.macaque	12	E-Gast	cyGast1
MFI123_sc11	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI123_sc25	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI123_sc46	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI123_sc47	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI123_sc49	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI123_sc53	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI123_sc54	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI123_sc58	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI123_sc60	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI123_sc89	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI124_sc01	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI124_sc03	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc11	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc13	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI124_sc14	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI124_sc18	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc32	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc36	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc40	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc43	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc65	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc78	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI124_sc79	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI124_sc81	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI124_sc93	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI125_sc17	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI125_sc18	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L1
MFI125_sc20	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc21	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc25	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc36	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc38	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI125_sc39	Ma	Cynomolgus.macaque	12	E-Gast	cyGast1
MFI125_sc40	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI125_sc44	Ma	Cynomolgus.macaque	12	E-AM	cyAME.L1
MFI125_sc46	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI125_sc47	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc55	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc65	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI125_sc66	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc67	Ma	Cynomolgus.macaque	12	TE	cyCTB
MFI125_sc68	Ma	Cynomolgus.macaque	12	postE-EPI	cyPostEPI-L2
MFI125_sc73	Ma	Cynomolgus.macaque	12	TE	cySTB
MFI125_sc82	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI125_sc83	Ma	Cynomolgus.macaque	12	E-Gast	cyGast1
MFI125_sc91	Ma	Cynomolgus.macaque	12	VE/YE	cyPrE
MFI131_sc33	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc37	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc40	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc41	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc42	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc44	Ma	Cynomolgus.macaque	13	E-AM	cyAME.L1
MFI131_sc46	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc47	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc48	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc52	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc54	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI131_sc55	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc56	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc57	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI131_sc58	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc60	Ma	Cynomolgus.macaque	13	E-Gast	cyGast1
MFI131_sc61	Ma	Cynomolgus.macaque	13	TE	cySTB
MFI131_sc62	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc63	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc64	Ma	Cynomolgus.macaque	13	EXMC	cyEVT
MFI131_sc65	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc67	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc68	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc70	Ma	Cynomolgus.macaque	13	EXMC	cyEVT
MFI131_sc71	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc73	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc74	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI131_sc75	Ma	Cynomolgus.macaque	13	EXMC	cyEVT
MFI131_sc76	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc78	Ma	Cynomolgus.macaque	13	TE	cySTB
MFI131_sc79	Ma	Cynomolgus.macaque	13	EXMC	cyEVT
MFI131_sc80	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc81	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc83	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc84	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc85	Ma	Cynomolgus.macaque	13	TE	cySTB
MFI131_sc86	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc88	Ma	Cynomolgus.macaque	13	EXMC	cyEVT
MFI131_sc89	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc91	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc92	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI131_sc93	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc94	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI131_sc96	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc02	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc04	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc07	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI132_sc08	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc12	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc13	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc14	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc19	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc20	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc24	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc25	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI132_sc28	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc31	Ma	Cynomolgus.macaque	13	E-Gast	cyGast1
MFI132_sc32	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc33	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc36	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc39	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc40	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc41	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc43	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc46	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc47	Ma	Cynomolgus.macaque	13	E-Gast	cyGast1
MFI132_sc49	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc51	Ma	Cynomolgus.macaque	13	E-AM	cyAME.L1
MFI132_sc52	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc53	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc55	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L2
MFI132_sc56	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc57	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc59	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc60	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc82	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc84	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc86	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc88	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L1
MFI132_sc89	Ma	Cynomolgus.macaque	13	TE	cyEVT
MFI132_sc91	Ma	Cynomolgus.macaque	13	EXMC	cyCTB
MFI132_sc92	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI132_sc93	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI132_sc96	Ma	Cynomolgus.macaque	13	TE	cyCTB
MFI133_sc09	Ma	Cynomolgus.macaque	13	E-AM	cyAME.L1
MFI133_sc57	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc59	Ma	Cynomolgus.macaque	13	E-AM	cyAME.L1
MFI133_sc60	Ma	Cynomolgus.macaque	13	L-Gast1	cyGast2
MFI133_sc75	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc77	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L2
MFI133_sc79	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc85	Ma	Cynomolgus.macaque	13	L-Gast2	cyGast3
MFI133_sc89	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc90	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc92	Ma	Cynomolgus.macaque	13	L-AM2	cyAME.L3
MFI133_sc93	Ma	Cynomolgus.macaque	13	E-AM	cyAME.L1
MFI133_sc95	Ma	Cynomolgus.macaque	13	VE/YE	cyPrE
MFI133_sc96	Ma	Cynomolgus.macaque	13	postE-EPI	cyPostEPI-L2
MFI141_sc06	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc16	Ma	Cynomolgus.macaque	14	VE/YE	cyPrE
MFI141_sc19	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc20	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI141_sc22	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc26	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc29	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L3
MFI141_sc36	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI141_sc54	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc56	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI141_sc65	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI141_sc79	Ma	Cynomolgus.macaque	14	TE	cyCTB
MFI141_sc85	Ma	Cynomolgus.macaque	14	TE	cyEVT
MFI141_sc96	Ma	Cynomolgus.macaque	14	EXMC	cyEVT
MFI142_sc01	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc02	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc04	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc06	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc07	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc08	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc10	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc12	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc13	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc14	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc15	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc16	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc17	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc18	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc19	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc20	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc21	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc22	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc25	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc26	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc27	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc29	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI142_sc30	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc31	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc32	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc33	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc35	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc36	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc37	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc38	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc42	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc43	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc44	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc45	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc46	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc47	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc48	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc49	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc50	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc52	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc53	Ma	Cynomolgus.macaque	14	E-AM	cyAME.L1
MFI142_sc54	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc55	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc56	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc57	Ma	Cynomolgus.macaque	14	E-Gast	cyGast1
MFI142_sc59	Ma	Cynomolgus.macaque	14	VE/YE	cyPrE
MFI142_sc60	Ma	Cynomolgus.macaque	14	TE	cySTB
MFI142_sc61	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc62	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc63	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc64	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc65	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc66	Ma	Cynomolgus.macaque	14	postE-EPI	cyPostEPI-L2
MFI142_sc67	Ma	Cynomolgus.macaque	14	TE	cySTB
