group,replicate,fastq_1,fastq_2,antibody,control
cR_H9_EOS_d0,1,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CACCGG_W0_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CACCGG_W0_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d0,2,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GTGAAA_Z0_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GTGAAA_Z0_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d10,1,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_ACTTGA_W10_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_ACTTGA_W10_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d10,2,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_TAATCG_Z10_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_TAATCG_Z10_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d20E,1,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GATCAG_W27E_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GATCAG_W27E_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d20E,2,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GGTAGC_Z23E_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_GGTAGC_Z23E_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d20X,1,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_TCCCGA_Z23X_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_TCCCGA_Z23X_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d20X,2,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_CTTGTA_W28X_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_CTTGTA_W28X_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d3,1,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CATGGC_W3_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CATGGC_W3_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
cR_H9_EOS_d3,2,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CTAGCT_Z3_H3K4me1_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me1/lane1_CTAGCT_Z3_H3K4me1_merged_L001_R2.fastq.gz,H3K4me1,INPUT
H9_EOS,1,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_AGTTCC_H9-3_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_AGTTCC_H9-3_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
H9_EOS,2,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_TGACCA_H9-1_H3K4me1_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me1/lane2_TGACCA_H9-1_H3K4me1_merged_L002_R2.fastq.gz,H3K4me1,INPUT
