group,replicate,fastq_1,fastq_2,antibody,control
HNES1_d0,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ACAGTG_D0_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ACAGTG_D0_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d10,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ACTTGA_W10_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ACTTGA_W10_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
H9_EOS,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_AGTCAA_H9-1_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_AGTCAA_H9-1_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
H9_EOS,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_AGTTCC_H9-3_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_AGTTCC_H9-3_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
HNES1_d3,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ATCACG_D3_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ATCACG_D3_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d20X,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ATGTCA_Z23X_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_ATGTCA_Z23X_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d3,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CAGATC_W3_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CAGATC_W3_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d20E,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CCGTCC_Z23E_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CCGTCC_Z23E_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d0,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CGATGT_W0_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CGATGT_W0_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
HNES1_d3,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CTTGTA_C3_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_CTTGTA_C3_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
HNES1_d10,1,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GATCAG_C10_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GATCAG_C10_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
