group,replicate,fastq_1,fastq_2,antibody,control
cR_H9_EOS_d0,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GCCAAT_Z0_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GCCAAT_Z0_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d10,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GGCTAC_Z10_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GGCTAC_Z10_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d20E,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GTAGAG_W27E_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GTAGAG_W27E_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d20X,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GTCCGC_W28X_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_GTCCGC_W28X_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
HNES1_d10,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TAGCTT_D10_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TAGCTT_D10_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
HNES1_d0,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TGACCA_C0_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TGACCA_C0_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
cR_H9_EOS_d3,2,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TTAGGC_Z3_H3K27me3_L007_R1.fastq.gz,/scratch/data/raw/chipseq_batch_3/H3K27me3/lane6364_TTAGGC_Z3_H3K27me3_L007_R4.fastq.gz,H3K27me3,INPUT
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R2.fastq.gz,,
